"LOINC_NUM","LONG_COMMON_NAME","ORDER_OBS"
"5096-3","Coccidioides immitis Ab [Titer] in Serum by Complement fixation","Both"
"13947-7","Coccidioides immitis IgG Ab [Presence] in Serum by Immunoassay","Both"
"13948-5","Coccidioides immitis IgM Ab [Presence] in Serum by Immunoassay","Both"
"6078-0","Cockroach IgE Ab [Units/volume] in Serum","Both"
"24139-8","Cockroach IgG Ab [Units/volume] in Serum","Both"
"6195-2","Cocksfoot IgE Ab [Units/volume] in Serum","Both"
"6081-4","Coconut IgE Ab [Units/volume] in Serum","Both"
"16250-3","Codeine [Mass/volume] in Urine by Confirmatory method","Both"
"3507-1","Codeine [Presence] in Urine","Both"
"6082-2","Codfish IgE Ab [Units/volume] in Serum","Both"
"27923-2","Coenzyme Q10 [Mass/volume] in Serum or Plasma","Both"
"5098-9","Cold agglutinin [Titer] in Serum or Plasma by Agglutination","Both"
"41171-0","Collagen crosslinked C-telopeptide [Mass/volume] in Serum or Plasma","Both"
"21215-9","Collagen crosslinked N-telopeptide [Moles/volume] in Serum","Both"
"27939-8","Collagen crosslinked N-telopeptide [Moles/volume] in Urine","Both"
"14115-0","Collagen crosslinked N-telopeptide/Creatinine [Molar ratio] in Urine","Both"
"7604-2","Common Pigweed IgE Ab [Units/volume] in Serum","Both"
"6085-5","Common Ragweed IgE Ab [Units/volume] in Serum","Both"
"4477-6","Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma","Both"
"10634-4","Complement C1 esterase inhibitor.functional/Complement C1 esterase inhibitor.total in Serum or Plasma","Both"
"4485-9","Complement C3 [Mass/volume] in Serum or Plasma","Both"
"34544-7","Complement C3 and C4 panel [Mass/volume] - Serum or Plasma","Order"
"4498-2","Complement C4 [Mass/volume] in Serum or Plasma","Both"
"4532-8","Complement total hemolytic CH50 [Units/volume] in Serum or Plasma","Both"
"58410-2","Complete blood count (hemogram) panel - Blood by Automated count","Order"
"24323-8","Comprehensive metabolic 2000 panel - Serum or Plasma","Order"
"5631-7","Copper [Mass/volume] in Serum or Plasma","Both"
"51662-5","Core respiratory allergens panel - Serum","Order"
"6087-1","Corn IgE Ab [Units/volume] in Serum","Both"
"2141-0","Corticotropin [Mass/volume] in Plasma","Both"
"2142-8","Cortisol [Mass/volume] in Saliva (oral fluid)","Both"
"2143-6","Cortisol [Mass/volume] in Serum or Plasma","Both"
"9813-7","Cortisol [Mass/volume] in Serum or Plasma --AM peak specimen","Both"
"9812-9","Cortisol [Mass/volume] in Serum or Plasma --PM trough specimen","Both"
"2147-7","Cortisol Free [Mass/time] in 24 hour Urine","Both"
"2145-1","Cortisol Free [Mass/volume] in Serum or Plasma","Both"
"11040-3","Cortisol Free [Mass/volume] in Urine","Both"
"5116-9","Corynebacterium diphtheriae Ab [Units/volume] in Serum by Immunoassay","Both"
"13227-4","Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum","Both"
"58787-3","Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"10366-3","Cotinine [Mass/volume] in Urine","Both"
"12293-7","Cotinine [Presence] in Urine","Both"
"6090-5","Cottonwood IgE Ab [Units/volume] in Serum","Both"
"7258-7","Cow milk IgE Ab [Units/volume] in Serum","Both"
"56234-8","Cow milk IgG4 Ab [Mass/volume] in Serum","Both"
"7774-3","Cow whey IgE Ab [Units/volume] in Serum","Both"
"41840-0","Coxiella burnetii phase 1 and 2 IgG panel [Titer] - Serum","Order"
"41484-7","Coxsackievirus A Ab panel [Titer] - Serum by Complement fixation","Order"
"41485-4","Coxsackievirus B Ab panel [Titer] - Serum by Complement fixation","Order"
"6092-1","Crab IgE Ab [Units/volume] in Serum","Both"
"2157-6","Creatine kinase [Enzymatic activity/volume] in Serum or Plasma","Both"
"32673-6","Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma","Both"
"49551-5","Creatine kinase.MB [Mass/volume] in Blood","Both"
"13969-1","Creatine kinase.MB [Mass/volume] in Serum or Plasma","Both"
"20624-3","Creatinine [Mass/volume] in 24 hour Urine","Both"
"2159-2","Creatinine [Mass/volume] in Amniotic fluid","Both"
"38483-4","Creatinine [Mass/volume] in Blood","Both"
"12190-5","Creatinine [Mass/volume] in Body fluid","Both"
"2160-0","Creatinine [Mass/volume] in Serum or Plasma","Both"
"2161-8","Creatinine [Mass/volume] in Urine","Both"
"35674-1","Creatinine [Mass/volume] in Urine collected for unspecified duration","Both"
"65634-8","Creatinine 24 hour urine panel - 24 hour Urine","Order"
"58446-6","Creatinine 24H renal clearance adjusted for body surface area panel","Order"
"34555-3","Creatinine 24H renal clearance panel","Order"
"45066-8","Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood","Order"
"11043-7","Cryofibrinogen [Presence] in Plasma","Both"
"5117-7","Cryoglobulin [Presence] in Serum","Both"
"31788-3","Cryptococcus sp Ag [Presence] in Cerebral spinal fluid","Both"
"29533-7","Cryptococcus sp Ag [Presence] in Unspecified specimen","Both"
"9820-2","Cryptococcus sp Ag [Titer] in Serum by Latex agglutination","Both"
"41487-0","Cryptosporidium parvum Ag [Presence] in Stool by Immunoassay","Both"
"20781-1","Cryptosporidium sp [Presence] in Stool by Acid fast stain","Both"
"6371-9","Cryptosporidium sp Ag [Presence] in Stool by Immunoassay","Both"
"6372-7","Cryptosporidium sp Ag [Titer] in Stool by Immunofluorescence","Both"
"6825-4","Crystals [type] in Body fluid by Light microscopy","Both"
"5781-0","Crystals [type] in Synovial fluid by Light microscopy","Both"
"32218-0","Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay","Both"
"57093-7","Cyclic citrullinated peptide IgA+IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"33935-8","Cyclic citrullinated peptide IgG Ab [Units/volume] in Serum or Plasma","Both"
"3520-4","cycloSPORINE [Mass/volume] in Blood","Both"
"32997-9","cycloSPORINE [Mass/volume] in Blood --2 hours post dose","Both"
"33863-2","Cystatin C [Mass/volume] in Serum or Plasma","Both"
"54078-1","Cystic fibrosis newborn screening panel","Order"
"47528-5","Cytology report of Cervical or vaginal smear or scraping Cyto stain","Both"
"47527-7","Cytology report of Cervical or vaginal smear or scraping Cyto stain.thin prep","Both"
"33718-8","Cytology report of Tissue fine needle aspirate Cyto stain","Both"
"5838-8","Cytomegalovirus [Presence] in Unspecified specimen by Organism specific culture","Both"
"31797-4","Cytomegalovirus Ag [Presence] in Unspecified specimen","Both"
"6379-2","Cytomegalovirus Ag [Presence] in Unspecified specimen by Immunoassay","Both"
"30247-1","Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"33006-8","Cytomegalovirus DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection","Both"
"28008-1","Cytomegalovirus DNA [Presence] in Blood by Probe with signal amplification","Both"
"30246-3","Cytomegalovirus DNA [Presence] in Serum or Plasma by NAA with probe detection","Both"
"5000-5","Cytomegalovirus DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"7852-7","Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma","Both"
"5124-3","Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"24315-4","Cytomegalovirus IgG and IgM panel - Serum or Plasma","Order"
"24119-0","Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"49539-0","Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence","Both"
"5127-6","Cytomegalovirus IgM Ab [Titer] in Serum or Plasma by Immunofluorescence","Both"
"5126-8","Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"2193-1","Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma","Both"
"2196-4","Dehydroepiandrosterone (DHEA).unconjugated [Mass/volume] in Serum or Plasma","Both"
"2191-5","Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma","Both"
"41878-0","Dengue virus IgG and IgM panel [Units/volume] - Serum by Immunoassay","Order"
"10535-3","Digoxin [Mass/volume] in Serum or Plasma","Both"
"1007-4","Direct antiglobulin test.poly specific reagent [Presence] on Red Blood Cells","Both"
"11013-0","DNA double strand Ab [Titer] in Serum","Both"
"34187-5","DNA double strand Ab [Titer] in Serum by Immunofluorescence (IF) Crithidia luciliae","Both"
"5130-0","DNA double strand Ab [Units/volume] in Serum","Both"
"10360-6","DNA single strand IgG Ab [Units/volume] in Serum","Both"
"6098-8","Dog dander IgE Ab [Units/volume] in Serum","Both"
"6099-6","Dog epithelium IgE Ab [Units/volume] in Serum","Both"
"7287-6","Dog Fennel IgE Ab [Units/volume] in Serum","Both"
"2218-6","Dopamine [Mass/time] in 24 hour Urine","Both"
"2216-0","Dopamine [Mass/volume] in Serum or Plasma","Both"
"2217-8","Dopamine [Mass/volume] in Urine","Both"
"40464-0","Drugs identified in Urine by Confirmatory method","Both"
"65750-2","Drugs of abuse 5 panel - Urine by Screen method","Order"
"6303-2","dRVVT (LA screen)","Both"
"6282-8","Eastern White Pine IgE Ab [Units/volume] in Serum","Both"
"21665-5","EGFR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"6106-9","Egg white IgE Ab [Units/volume] in Serum","Both"
"6107-7","Egg yolk IgE Ab [Units/volume] in Serum","Both"
"9783-2","Ehrlichia chaffeensis IgG Ab [Titer] in Serum","Both"
"45059-3","Ehrlichia chaffeensis IgG and IgM panel [Titer] - unspecified time Serum by Immunofluorescence","Order"
"9784-0","Ehrlichia chaffeensis IgM Ab [Titer] in Serum","Both"
"25907-7","Elastase.pancreatic [Mass/mass] in Stool","Both"
"24326-1","Electrolytes 1998 panel - Serum or Plasma","Order"
"55231-5","Electrolytes panel - Blood","Order"
"14708-2","Endomysium Ab [Titer] in Serum","Both"
"10362-2","Endomysium IgA Ab [Presence] in Serum","Both"
"10863-9","Endomysium IgA Ab [Titer] in Serum","Both"
"27038-9","Endomysium IgA Ab [Titer] in Serum by Immunofluorescence","Both"
"20797-7","Endotoxin identified in Unspecified specimen","Both"
"6110-1","English plantain IgE Ab [Units/volume] in Serum","Both"
"15060-7","Enolase.neuron specific [Mass/volume] in Serum or Plasma","Both"
"9522-4","Entamoeba histolytica IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"675-9","Enterobius vermicularis [Presence] in Unspecified specimen by Pinworm exam","Both"
"29591-5","Enterovirus RNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"26449-9","Eosinophils [#/volume] in Blood","Both"
"711-2","Eosinophils [#/volume] in Blood by Automated count","Both"
"48049-1","Eosinophils [Presence] in Stool by Wright stain","Both"
"49839-4","Eosinophils [Presence] in Urine sediment by Wright stain","Both"
"12210-1","Eosinophils/100 leukocytes in Urine sediment by Manual count","Both"
"30339-6","Epstein Barr virus capsid IgG Ab [Presence] in Serum","Both"
"24114-1","Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunoassay","Both"
"40750-2","Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunofluorescence","Both"
"5158-1","Epstein Barr virus capsid IgG Ab [Titer] in Serum by Immunofluorescence","Both"
"7885-7","Epstein Barr virus capsid IgG Ab [Units/volume] in Serum","Both"
"5157-3","Epstein Barr virus capsid IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"24316-2","Epstein Barr virus capsid IgG and IgM panel - Serum","Order"
"30340-4","Epstein Barr virus capsid IgM Ab [Presence] in Serum","Both"
"24115-8","Epstein Barr virus capsid IgM Ab [Presence] in Serum by Immunoassay","Both"
"5160-7","Epstein Barr virus capsid IgM Ab [Titer] in Serum by Immunofluorescence","Both"
"7886-5","Epstein Barr virus capsid IgM Ab [Units/volume] in Serum","Both"
"5159-9","Epstein Barr virus capsid IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"32585-2","Epstein Barr virus DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection","Both"
"5005-4","Epstein Barr virus DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"14083-0","Epstein Barr virus early Ab [Titer] in Serum by Immunofluorescence","Both"
"40752-8","Epstein Barr virus early IgG Ab [Presence] in Serum by Immunoassay","Both"
"24007-7","Epstein Barr virus early IgG Ab [Units/volume] in Serum","Both"
"56598-6","Epstein Barr virus early IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"22296-8","Epstein Barr virus nuclear Ab [Presence] in Serum","Both"
"22297-6","Epstein Barr virus nuclear Ab [Titer] in Serum","Both"
"21260-5","Epstein Barr virus nuclear Ab [Titer] in Serum by Immunofluorescence","Both"
"7883-2","Epstein Barr virus nuclear IgG Ab [Presence] in Serum","Both"
"5156-5","Epstein Barr virus nuclear IgG Ab [Presence] in Serum by Immunoassay","Both"
"31374-2","Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum","Both"
"30083-0","Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"30341-2","Erythrocyte sedimentation rate","Both"
"4537-7","Erythrocyte sedimentation rate by Westergren method","Both"
"789-8","Erythrocytes [#/volume] in Blood by Automated count","Both"
"15061-5","Erythropoietin (EPO) [Units/volume] in Serum or Plasma","Both"
"21262-1","Escherichia coli shiga-like toxin [Presence] in Stool by Immunoassay","Both"
"2243-4","Estradiol (E2) [Mass/volume] in Serum or Plasma","Both"
"35384-7","Estradiol (E2) [Mass/volume] in Serum or Plasma by High sensitivity method","Both"
"2251-7","Estriol (E3) [Mass/volume] in Serum or Plasma","Both"
"2250-9","Estriol (E3).unconjugated [Mass/volume] in Serum or Plasma","Both"
"2254-1","Estrogen [Mass/volume] in Serum or Plasma","Both"
"53766-2","Estrogen fraction panel - Serum or Plasma","Order"
"2258-2","Estrone (E1) [Mass/volume] in Serum or Plasma","Both"
"5640-8","Ethanol [Mass/volume] in Blood","Both"
"5643-2","Ethanol [Mass/volume] in Serum or Plasma","Both"
"5645-7","Ethanol [Mass/volume] in Urine","Both"
"5639-0","Ethanol [Presence] in Blood","Both"
"5644-0","Ethanol [Presence] in Urine","Both"
"3616-0","Ethosuximide [Mass/volume] in Serum or Plasma","Both"
"45324-1","Ethyl glucuronide [Mass/volume] in Urine","Both"
"58375-7","Ethyl glucuronide [Presence] in Urine by Screen method","Both"
"5646-5","Ethylene glycol [Mass/volume] in Serum, Plasma or Blood","Both"
"6096-2","European house dust mite IgE Ab [Units/volume] in Serum","Both"
"50544-6","Everolimus [Mass/volume] in Blood","Both"
"24475-6","F2 gene c.20210G>A [Presence] in Blood or Tissue by Molecular genetics method","Both"
"24476-4","F2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"21667-1","F5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"1558-6","Fasting glucose [Mass/volume] in Serum or Plasma","Both"
"16142-2","Fat [Mass/time] in 24 hour Stool","Both"
"2270-7","Fat [Presence] in Stool","Both"
"12598-9","Fat.neutral [Presence] in Stool","Both"
"11235-9","fentaNYL [Presence] in Urine","Both"
"2276-4","Ferritin [Mass/volume] in Serum or Plasma","Both"
"29280-5","Fibrin D-dimer [Presence] in Platelet poor plasma by Latex agglutination","Both"
"7799-0","Fibrin D-dimer [Units/volume] in Platelet poor plasma","Both"
"48066-5","Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma","Both"
"48058-2","Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay","Both"
"48065-7","Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma","Both"
"3255-7","Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay","Both"
"3256-5","Fibrinogen Ag [Mass/volume] in Platelet poor plasma by Immunoassay","Both"
"48039-2","Fibronectin.fetal [Presence] in Unspecified specimen","Both"
"20404-0","Fibronectin.fetal [Presence] in Vaginal fluid","Both"
"48798-3","First trimester maternal screen panel - Serum or Plasma","Order"
"33719-6","Flow cytometry study","Both"
"21759-6","FMR1 gene CGG repeats [Presence] in Blood or Tissue by Molecular genetics method","Both"
"36913-2","FMR1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","Both"
"2282-2","Folate [Mass/volume] in Blood","Both"
"2283-0","Folate [Mass/volume] in Red Blood Cells","Both"
"2284-8","Folate [Mass/volume] in Serum or Plasma","Both"
"15067-2","Follitropin [Units/volume] in Serum or Plasma","Both"
"34549-6","Follitropin and Lutropin panel [Units/volume] - Serum or Plasma","Order"
"15218-1","Food Allergen Mix 2 (Cod+Blue Mussel+Shrimp+Salmon+Tuna) IgE Ab [Presence] in Serum by Multidisk","Both"
"49222-3","Food allergen panel - Serum","Order"
"21760-4","FRAXE gene CGG repeats [Presence] in Blood or Tissue by Molecular genetics method","Both"
"721-1","Free Hemoglobin [Mass/volume] in Plasma","Both"
"4635-9","Free Hemoglobin [Mass/volume] in Serum","Both"
"15069-8","Fructosamine [Moles/volume] in Serum or Plasma","Both"
"13943-6","Fructose [Presence] in Semen","Both"
"56146-4","Fungal Ab panel - Serum","Order"
"601-5","Fungus identified in Blood by Culture","Both"
"15378-3","Fungus identified in Isolate by Culture","Both"
"575-1","Fungus identified in Skin by Culture","Both"
"580-1","Fungus identified in Unspecified specimen by Culture","Both"
"21003-9","Fungus identified in Unspecified specimen by Fungus stain","Both"
"6121-8","Fusarium moniliforme IgE Ab [Units/volume] in Serum","Both"
"9738-6","Gabapentin [Mass/volume] in Serum, Plasma or Blood","Both"
"44099-0","Galactomannan Ag [Presence] in Serum or Plasma by Immunoassay","Both"
"35383-9","Galactomannan Ag [Units/volume] in Serum or Plasma","Both"
"44357-2","Galactomannan Ag [Units/volume] in Serum or Plasma by Immunoassay","Both"
"62419-7","Galectin 3 [Mass/volume] in Serum or Plasma","Both"
"2324-2","Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma","Both"
"6410-5","Gardnerella vaginalis rRNA [Presence] in Genital specimen by Probe","Both"
"2333-3","Gastrin [Mass/volume] in Serum or Plasma","Both"
"35668-3","Gentamicin [Mass/volume] in Serum or Plasma","Both"
"3663-2","Gentamicin [Mass/volume] in Serum or Plasma --peak","Both"
"3665-7","Gentamicin [Mass/volume] in Serum or Plasma --trough","Both"
"6412-1","Giardia lamblia Ag [Presence] in Stool by Immunoassay","Both"
"48060-8","Giardia lamblia+Cryptosporidium sp Ag [Presence] in Stool","Both"
"7893-1","Gliadin Ab [Units/volume] in Serum","Both"
"6924-5","Gliadin IgA Ab [Units/volume] in Serum","Both"
"20495-8","Gliadin IgA Ab [Units/volume] in Serum by Immunoassay","Both"
"5170-6","Gliadin IgG Ab [Units/volume] in Serum","Both"
"20496-6","Gliadin IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"30343-8","Glomerular basement membrane IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"2339-0","Glucose [Mass/volume] in Blood","Both"
"2344-0","Glucose [Mass/volume] in Body fluid","Both"
"32016-8","Glucose [Mass/volume] in Capillary blood","Both"
"41653-7","Glucose [Mass/volume] in Capillary blood by Glucometer","Both"
"2342-4","Glucose [Mass/volume] in Cerebral spinal fluid","Both"
"2345-7","Glucose [Mass/volume] in Serum or Plasma","Both"
"1501-6","Glucose [Mass/volume] in Serum or Plasma --1 hour post 100 g glucose PO","Both"
"1507-3","Glucose [Mass/volume] in Serum or Plasma --1 hour post 75 g glucose PO","Both"
"20438-8","Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucose","Both"
"10449-7","Glucose [Mass/volume] in Serum or Plasma --1 hour post meal","Both"
"12646-6","Glucose [Mass/volume] in Serum or Plasma --1 hour post XXX challenge","Both"
"1514-9","Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO","Both"
"1518-0","Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO","Both"
"20436-2","Glucose [Mass/volume] in Serum or Plasma --2 hours post dose glucose","Both"
"1521-4","Glucose [Mass/volume] in Serum or Plasma --2 hours post meal","Both"
"2350-7","Glucose [Mass/volume] in Urine","Both"
"5792-7","Glucose [Mass/volume] in Urine by Test strip","Both"
"2349-9","Glucose [Presence] in Urine","Both"
"25428-4","Glucose [Presence] in Urine by Test strip","Both"
"24353-5","Glucose tolerance 2 hours gestational panel - Urine and Serum or Plasma","Order"
"50608-9","Glucose tolerance 3 hours gestational panel - Serum or Plasma","Order"
"32546-4","Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells","Both"
"2357-2","Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells","Both"
"2356-4","Glucose-6-Phosphate dehydrogenase [Presence] in Red Blood Cells","Both"
"13926-1","Glutamate decarboxylase 65 Ab [Units/volume] in Serum","Both"
"56540-8","Glutamate decarboxylase 65 Ab [Units/volume] in Serum by Immunoassay","Both"
"6125-9","Gluten IgE Ab [Units/volume] in Serum","Both"
"63091-3","Gluten IgG Ab [Mass/volume] in Serum","Both"
"6129-1","Goose feather IgE Ab [Units/volume] in Serum","Both"
"6156-4","Goosefoot IgE Ab [Units/volume] in Serum","Both"
"15284-3","Grey Alder IgE Ab [Units/volume] in Serum","Both"
"7110-0","Groundsel Tree IgE Ab [Units/volume] in Serum","Both"
"6113-5","Gum-Tree IgE Ab [Units/volume] in Serum","Both"
"29559-2","Haemophilus ducreyi DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"11256-5","Haemophilus influenzae B IgG Ab [Mass/volume] in Serum","Both"
"4542-7","Haptoglobin [Mass/volume] in Serum or Plasma","Both"
"6136-6","Hazelnut IgE Ab [Units/volume] in Serum","Both"
"6137-4","Hazelnut Pollen IgE Ab [Units/volume] in Serum","Both"
"21687-9","HBA1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"29588-1","Heavy metals panel - Blood","Order"
"29891-9","Helicobacter pylori [Presence] in Stomach by urea breath test","Both"
"22310-7","Helicobacter pylori Ab [Presence] in Serum","Both"
"7900-4","Helicobacter pylori Ab [Units/volume] in Serum","Both"
"31843-6","Helicobacter pylori Ag [Presence] in Stool","Both"
"17780-8","Helicobacter pylori Ag [Presence] in Stool by Immunoassay","Both"
"7901-2","Helicobacter pylori IgA Ab [Units/volume] in Serum","Both"
"6420-4","Helicobacter pylori IgA Ab [Units/volume] in Serum by Immunoassay","Both"
"16126-5","Helicobacter pylori IgG Ab [Presence] in Serum","Both"
"17859-0","Helicobacter pylori IgG Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"7902-0","Helicobacter pylori IgG Ab [Units/volume] in Serum","Both"
"5176-3","Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"5177-1","Helicobacter pylori IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"20570-8","Hematocrit [Volume Fraction] of Blood","Both"
"11153-4","Hematocrit [Volume Fraction] of Body fluid","Both"
"718-7","Hemoglobin [Mass/volume] in Blood","Both"
"48035-0","Hemoglobin [Presence] in Cerebral spinal fluid","Both"
"17856-6","Hemoglobin A1c/Hemoglobin.total in Blood by HPLC","Both"
"24360-0","Hemoglobin and Hematocrit panel - Blood","Order"
"32140-6","Hemoglobin F [Presence] in Blood by Kleihauer-Betke method","Both"
"4621-9","Hemoglobin S [Presence] in Blood","Both"
"6864-3","Hemoglobin S [Presence] in Blood by Solubility test","Both"
"4625-0","Hemoglobin S/Hemoglobin.total in Blood","Both"
"2334-1","Hemoglobin.gastrointestinal [Presence] in Gastric fluid","Both"
"2335-8","Hemoglobin.gastrointestinal [Presence] in Stool","Both"
"29771-3","Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay","Both"
"34701-3","Heparin induced platelet Ab [Presence] in Serum","Both"
"3274-8","Heparin unfractionated [Units/volume] in Platelet poor plasma by Chromogenic method","Both"
"24325-3","Hepatic function 2000 panel - Serum or Plasma","Order"
"13951-9","Hepatitis A virus Ab [Presence] in Serum by Immunoassay","Both"
"5183-9","Hepatitis A virus Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"22314-9","Hepatitis A virus IgM Ab [Presence] in Serum","Both"
"13950-1","Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"22315-6","Hepatitis A virus IgM Ab [Units/volume] in Serum","Both"
"5181-3","Hepatitis A virus IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"16933-4","Hepatitis B virus core Ab [Presence] in Serum","Both"
"47440-3","Hepatitis B virus core Ab [Presence] in Serum from Donor","Both"
"13952-7","Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"5187-0","Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay","Both"
"31204-1","Hepatitis B virus core IgM Ab [Presence] in Serum","Both"
"24113-3","Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"5185-4","Hepatitis B virus core IgM Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"29615-2","Hepatitis B virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"11258-1","Hepatitis B virus DNA [Units/volume] in Serum","Both"
"13953-5","Hepatitis B virus e Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"31844-4","Hepatitis B virus e Ag [Presence] in Serum","Both"
"13954-3","Hepatitis B virus e Ag [Presence] in Serum or Plasma by Immunoassay","Both"
"5191-2","Hepatitis B virus e Ag [Units/volume] in Serum by Immunoassay","Both"
"22322-2","Hepatitis B virus surface Ab [Presence] in Serum","Both"
"10900-9","Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay","Both"
"16935-9","Hepatitis B virus surface Ab [Units/volume] in Serum","Both"
"5194-6","Hepatitis B virus surface Ab [Units/volume] in Serum by Radioimmunoassay (RIA)","Both"
"5193-8","Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"5195-3","Hepatitis B virus surface Ag [Presence] in Serum","Both"
"47364-5","Hepatitis B virus surface Ag [Presence] in Serum from Donor by Immunoassay","Both"
"5196-1","Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay","Both"
"7905-3","Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Neutralization test","Both"
"16128-1","Hepatitis C virus Ab [Presence] in Serum","Both"
"5199-5","Hepatitis C virus Ab [Presence] in Serum by Immunoblot","Both"
"47441-1","Hepatitis C virus Ab [Presence] in Serum from Donor","Both"
"13955-0","Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"5198-7","Hepatitis C virus Ab [Units/volume] in Serum by Immunoassay","Both"
"48159-8","Hepatitis C virus Ab Signal/Cutoff in Serum or Plasma by Immunoassay","Both"
"49846-9","Hepatitis C virus core Ag [Presence] in Blood or Marrow from Donor","Both"
"32286-7","Hepatitis C virus genotype [Identifier] in Serum or Plasma by NAA with probe detection","Both"
"20416-4","Hepatitis C virus RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"47252-2","Hepatitis C virus RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"38180-6","Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"11259-9","Hepatitis C virus RNA [Presence] in Serum or Plasma by NAA with probe detection","Both"
"11011-4","Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"22330-5","Hepatitis D virus Ab [Units/volume] in Serum","Both"
"17850-9","Herpes simplex virus 1 IgG Ab [Presence] in Serum","Both"
"51916-5","Herpes simplex virus 1 IgG Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"5206-8","Herpes simplex virus 1 IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"50758-2","Herpes simplex virus 1 IgM Ab [Titer] in Serum by Immunofluorescence","Both"
